block,alpha,family,acc,lf_coverr,lftr_coverr,lac_coverr,pass_lf,pass_lf_phi,pass_lftr,pass_lac,lf_eps,lac_eps,lf_width,lf_width_fb,lac_width,lac_width_fb,tau_err
DK10,0.05,deep,,,,,,,,,,,,,,,
DK10,0.05,classic,0.6941855339586585,0.0530053511882975,0.0514892610823419,0.0203772542184463,0.36,0.36,0.4,0.7,0.0078330681818181,0.0086718181818181,3.924659205579317,3.9324922737611354,12.4637541623735,12.47242598055532,0.0956343370252204
DK10,0.1,TFM,0.8400999200795591,0.0207706101648875,0.0177296713584088,0.009416936964665,0.6799999999999999,0.6799999999999999,0.7,0.97,0.038386252105877,0.0435169525529708,1.8070481979453097,1.8454344500511863,1.7942614217318629,1.8377783742848337,0.0430636214092373
DK10,0.1,GBDT,0.7989240483314308,0.0547863847633074,0.0542963144560774,0.009687062331166,0.4933333333333333,0.4933333333333333,0.52,0.9866666666666668,0.0397432358150283,0.0398110091470658,8.593016938076916,8.632760173891944,2.135872064034047,2.175683073181113,0.05154672722656
DK10,0.1,deep,,,,,,,,,,,,,,,
DK10,0.1,classic,0.6941855339586585,0.0549466358570875,0.0526505947485794,0.0228662677986323,0.48,0.48,0.53,0.8,0.021940909090909,0.0234493181818181,3.0360953070633885,3.058036216154297,5.251387862439135,5.274837180620953,0.061950982295922
DK10,0.2,TFM,0.8400999200795591,0.0281303041153477,0.0261075651270768,0.0170092959018644,0.63,0.67,0.61,0.9,0.1122569302792716,0.1312349675208967,1.357227746361655,1.4694846766409266,1.3559777496605705,1.487212717181467,0.030126863643527
DK10,0.2,GBDT,0.7989240483314308,0.0723989970452675,0.0713944257116388,0.0118101448952215,0.5733333333333334,0.6,0.5533333333333333,0.9933333333333332,0.103821001543726,0.1084941930711246,6.8705208021592235,6.9743418037029485,1.5312296818003357,1.63972387487146,0.0574560192256888
DK10,0.2,deep,,,,,,,,,,,,,,,
DK10,0.2,classic,0.6941855339586585,0.0705335913953126,0.0676793620972033,0.0349672543263357,0.41,0.42,0.43,0.77,0.0483517571923799,0.0617536016166655,2.136835288781911,2.185187045974291,4.269117357129348,4.330870958746013,0.069359616830569
