score,alpha,block,model,family,n_datasets,mean_residual,ci_lo,ci_hi,max_abs_dataset_residual,verdict
LAC,0.05,all,tabpfn26,TFM,207,0.00016699938760585017,-0.0009521520763071921,0.0012798402001572406,0.028358410911452823,CERTIFIED
LAC,0.05,all,tabpfn3,TFM,216,0.00044636380525605516,-0.0006115191451227425,0.0015628335719781133,0.03158421736306575,CERTIFIED
LAC,0.05,all,xgboost,GBDT,216,8.938815024925765e-05,-0.0009408728725129323,0.0011234739273127778,0.028358410911452837,CERTIFIED
LAC,0.2,all,LogReg,classic,216,0.0009803035290258603,-0.0012363428409567258,0.0031896282962022883,0.06254901960784308,CERTIFIED
LAC,0.2,all,PFN-v2,TFM,207,0.0009369253600846454,-0.0011273606963400555,0.003016600261961743,0.05104631217838769,CERTIFIED
LAC,0.2,all,catboost,GBDT,215,0.000529059067379599,-0.0012500963244054415,0.002300948787212778,0.04150085763293315,CERTIFIED
LAC,0.2,all,exaone,TFM,156,-0.0004703646115503716,-0.0031083247386364797,0.0021779448351469995,0.039682675814751336,CERTIFIED
LAC,0.2,all,ftt,deep,208,0.0009850141647968827,-0.0007526878190477352,0.002754031105390608,0.05117012448132775,CERTIFIED
LAC,0.2,all,knn,classic,216,0.000492885939355796,-0.00118684182529788,0.002216714027641617,0.03964266727424617,CERTIFIED
LAC,0.2,all,lightgbm,GBDT,216,0.0009400816521422954,-0.0008559917904191728,0.0027656705152746134,0.050215097402597365,CERTIFIED
LAC,0.2,all,mitra,TFM,206,0.0010120600598518383,-0.0008878630029163675,0.002936762123500521,0.05059176672384223,documented deviation
LAC,0.2,all,mitra@v2,TFM,206,-2.0152926205242577e-05,-0.001952980002916188,0.001962085508202376,0.053773584905660435,CERTIFIED
LAC,0.2,all,mlp,deep,208,0.0011500500059352945,-0.0005793325725184151,0.002947026296277998,0.04106137692141154,documented deviation
LAC,0.2,all,resnet,deep,207,0.0012015683120035156,-0.0005044922430507205,0.0029859526679448735,0.040170124481327764,documented deviation
LAC,0.2,all,tabfm,TFM,205,0.0004099203617398434,-0.0017020505264570792,0.002536674934129841,0.04621224460249383,CERTIFIED
LAC,0.2,all,tabicl,TFM,214,0.00018547451537653478,-0.0017849426867634958,0.0021441130011149085,0.043143215506002607,CERTIFIED
LAC,0.2,all,tabiclv2,TFM,216,0.0002330967885033267,-0.0017412703489243751,0.002196264675609803,0.043773584905660426,CERTIFIED
LAC,0.2,all,tabldm,TFM,207,0.00024290528018142628,-0.0017379172246002467,0.0022530995935387873,0.044778092890198816,CERTIFIED
LAC,0.2,all,tabm,deep,208,0.0005733157621136297,-0.0012207523216769588,0.0024189101045212972,0.038521105375038,CERTIFIED
LAC,0.2,all,tabpfn,TFM,205,0.0009459048449062622,-0.0011300535965190423,0.0029651674723290555,0.0423714990083227,CERTIFIED
LAC,0.2,all,tabpfn25,TFM,207,0.0004661010519928117,-0.0016117911302184404,0.002535442818097031,0.058319039451114975,CERTIFIED
LAC,0.2,all,tabpfn25b,TFM,207,0.000854204928944575,-0.0012227380325614088,0.0029607284522271387,0.05559176672384224,CERTIFIED
LAC,0.2,all,tabpfn26,TFM,207,0.0003231376874215707,-0.0016913917408863909,0.002381049953085572,0.0510463121783877,CERTIFIED
